agencyCode,agencyName,currentUII,investmentName,investmentType,uniqueProjectId,projectId,agencyProjectId,projectName,projectGoal,infrastructureManagementCategory,projectStatus,tmfInitiative,softwareProject,incrementalDevelopment,iterationFrequencyAmount,iterationFrequencyUnits,iterativeDescription,plannedStartDate,projectedStartDate,actualStartDate,plannedEndDate,projectedEndDate,actualEndDate,plannedCost,projectedCost,actualCost,scheduleVariance(days),scheduleVariance(%),scheduleVarianceColor,costVariance($M),costVariance(%),costVarianceColor,updatedTime
024,"Department of Homeland Security",024-000005052,"CBP - Automated Targeting System (ATS) Maintenance","Major IT Investments",126979,48,126979,"ATS Maintenance FY22 Data Improvement Enrichment","Rule set clean-up, data standardization, methodology improvement/refresh.  Improvements and advancements in matching techniques to improve the quantity and quality of derogatory data as well as discovery of new high-threat entities.",01,Completed,,false,false,,,,2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,12.001,12.001,12.001,0,0,green,0,0,green,"2022-10-29 19:50:00"
024,"Department of Homeland Security",024-000005360,"ICE - RAVEN Platform","Major IT Investments",136407,1,136407,"RAVEN Platform","The primary objective of this project is to reach full operational capability for the RAVEN Platform.",01,"In Progress",,true,true,2,Weeks,"raven utilizes the safe agile methodology, structured as two week increments, with 4 increments per pi planning session.",2021-09-24,2022-10-01,2022-10-01,2037-09-23,2023-09-30,,2.8,2.8,,5107,87.403731,red,0,0,green,"2022-10-29 19:51:25"
024,"Department of Homeland Security",024-000005265,"CBP - Biometric Entry-Exit","Major IT Investments",134696,3,134696,"Traveler Verification Service Operations & Maintenance FY23","Ensure on-going operation for the Traveler Verification Service for Air Exit operations while also supporting development for other transportation modes (e.g., pedestrian, vehicle) in FY23.",01,"In Progress",,false,true,3,Months,"cbp provides authenticated external stakeholders the ability to aid biometric verification operations via traveler photos sent to its biometric gateway application program interface. cbp provides technical reference guides for the interface specifications for various modalities and employs a system acceptance test environment for technical certification. cbp works closely with each in developing, testing, and implementing the software and, upon certification, access to the live instance of tvs.",2022-10-01,2022-10-01,2022-10-03,2023-08-31,2023-08-31,,6.8,6.8,,0,0,green,0,0,green,"2023-05-22 16:09:28"
024,"Department of Homeland Security",024-000005254,"CBP - Mobile Video Surveillance System (MVSS)","Major IT Investments",134677,3,134677,"MVSS Operations and Maintenance","Operations and maintenance of 165 deployed MVSS units.",01,"In Progress",,false,false,,,,2021-09-23,2021-09-23,2021-09-23,2024-03-23,2024-03-23,,28.802,28.802,,0,0,green,0,0,green,"2023-07-27 11:58:55"
024,"Department of Homeland Security",024-000009560,"DHS - Automated Biometric Identification System (IDENT)","Major IT Investments",134642,17,134642,"DHS - IDENT - IDENT Annual Enterprise Management Maintenance 2022","Deliver Annual IDENT Maintenance Releases.",01,Complete,,false,false,,,"project is for support and maintenance.",,,2022-01-01,,,2022-04-30,,,0.66,61,33.8889,red,-0.34,34,red,"2022-06-30 04:02:57"
024,"Department of Homeland Security",024-000009561,"CBP - Arrival and Departure Information System (ADIS)","Major IT Investments",101735,10,101735,"I-94 Integration","Complete integrating the functionality of the CBP I-94 subsystem of TECS for Travelers Visiting the U.S. into ADIS and assume responsibility for all interfaces sharing I-94 data, including the public website.",01,Completed,,false,true,1,Months,"the business sponsor or owner (cbp ofo) provides the roadmap of the high level requirements. information from the roadmap is translated to multiple epics and with the collaboration of the appropriate stakeholders they are prioritized and scheduled during the quarterly planning sessions.  each week oit and the business stakeholders work together to prioritize user stories; groom user stories; and generate the deployment schedules.",2019-10-01,2019-10-01,2019-10-01,2021-09-30,2021-09-30,2021-09-30,9.592,9.592,9.583,0,0,green,0.0090000000000003,0.093828,green,"2022-10-29 19:50:23"
024,"Department of Homeland Security",024-000001226,"DHS - CHCO - HR-IT","Major IT Investments",130270,19,130270,"HRIT Solutions","Deliver automated IT capability around across the Human Capital Business Model to serve DHS components and workforce.",01,"In Progress",,false,true,4,Weeks,"frequency deliver automated it capability around across the human capital business model to serve dhs components and workforce.",2021-01-08,2021-01-08,2021-01-08,2024-05-23,2023-07-14,,5,5,,314,25.507717,yellow,0,0,green,"2023-04-26 15:47:53"
024,"Department of Homeland Security",024-000005710,"TSA - Credential Authentication Technology (CAT)","Major IT Investments",111968,2,111968,"Screening Portfolio (Sustainment)","Continued sustainment of fielded (deployed) CAT units at optimum operational status.",01,Completed,,false,false,,,,2019-02-15,2019-02-15,2019-02-15,2021-09-30,2021-09-30,2021-09-30,19.228,19.228,19.228,0,0,green,0,0,green,"2022-10-29 19:50:56"
024,"Department of Homeland Security",024-000005710,"TSA - Credential Authentication Technology (CAT)","Major IT Investments",111967,1,111967,"Screening Portfolio (DME)","Continuous enhancements to CAT software to link with Secure Flight, STIP and on-going maintenance of deployed systems.",01,Completed,,false,false,,,,2019-02-15,2019-02-15,2019-02-15,2021-09-30,2021-09-30,2021-09-30,59.821,59.821,59.821,0,0,green,0,0,green,"2022-10-29 19:50:55"
024,"Department of Homeland Security",024-000005220,"CBP - Remote Video Surveillance System (RVSS) Upgrade Program","Major IT Investments",79320,4,79320,"Laredo and SWB Planning","The goal of the RVSS Laredo and Southwest Border (SWB) Planning initiative is to start the planning for the remaining six sectors of the SWB.",01,"In Progress",,false,false,,,,2017-01-20,2017-01-20,2017-01-20,2023-05-12,2023-03-03,,33.775,33.775,,-45,1.953973,green,0,0,green,"2023-06-26 00:30:26"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Major IT Investments",142771,1,142771,"RVSSU Deployment ? RGV and Laredo","To provide upgraded camera suites with additional surveillance tools, replace the current analog system with a digital system necessary for Certification & Accreditation, and provide modern C2 facilities for added situational awareness capabilities.",01,"In Progress",,false,false,,,,2022-09-16,2022-09-16,2022-09-16,2024-05-10,2024-05-10,,35.5,35.5,,0,0,green,0,0,green,"2023-07-27 11:59:00"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Major IT Investments",142772,2,142772,"AST Deployment","Procurement, Fielding, and sustainment of AST Towers in four sectors (Del Rio, El Paso, Big Bend, Rio Grande, San Diego).",01,"In Progress",,false,false,,,,2022-06-23,2022-06-23,2022-06-23,2024-12-30,2024-12-30,,108.666,96.545,,0,0,green,12.121,11.154363,yellow,"2023-07-27 11:59:01"
024,"Department of Homeland Security",024-000005053,"CBP - Automated Commercial Environment (ACE)","Major IT Investments",231490,16,231490,"ACE Sustainment","This Project includes the following maintenance activities for the ACE Program: Hardware Maintenance, Infrastructure Support, Software Maintenance, and Code Maintenance.",01,"In Progress",,false,true,1,Months,"agile. ?four increments are completed annually. ?each increment consists of sprints of two week duration.",2016-07-03,2016-07-03,2016-07-03,2024-09-30,2024-09-30,,688.272,688.272,,0,0,green,0,0,green,"2023-05-22 16:09:20"
024,"Department of Homeland Security",024-000005713,"TSA - CheckPoint Property Screening System (CPSS)","Major IT Investments",125352,2,125352,"CPSS Increment 1","CPSS Increment 1 project aims to develop, test & evaluate, produce and deploy checkpoint carry-on bag screening systems.",01,Completed,,false,true,12,Months,"the cpss program is applying an incremental approach to rapidly deploy enhanced checkpoint screening capabilities. each increment will be defined by the set of requirements listed in the cpss functional requirements document (frd) traceable to the apss operational requirements document (ord).  for each defined increment, the cpss program will update the cpss frd to include incremental enhancements to the baseline set by the previous increment and qualify systems against the updated frd.",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,58,58,58,0,0,green,0,0,green,"2022-10-29 19:51:08"
024,"Department of Homeland Security",024-000005664,"TSA - Technology Infrastructure Modernization (TIM) Program","Major IT Investments",113364,11,113364,"TSA Pre-Check Expansion Support","To enhance TIM to exchange data with TSA Pre-Check Expansion partners. The TSA PreCheck Expansion partners were each awarded an OTA by TSA to expand the ability to apply for TSA PreCheck. To facilitate, enhancements were required of the TIM system.",01,Complete,,true,true,1,Months,"the cadence is an 8-week program increment (pi).",,,2019-08-27,,,2021-10-21,,,2.1,0,0,green,0.07,3.4113,green,"2021-12-02 00:27:09"
024,"Department of Homeland Security",024-000005052,"CBP - Automated Targeting System (ATS) Maintenance","Major IT Investments",113360,44,113360,"ATS Maintenance FY21 Data Improvement/ Enrichment","Rule set clean-up, data standardization, methodology improvement/refresh. ?Improvements and advancements in matching techniques to improve the quantity and quality of derogatory data as well as discovery of new high-threat entities.",01,Completed,,false,false,,,,2020-10-01,2020-10-01,2020-10-01,2021-09-30,2021-09-30,2021-09-30,12.001,12.001,12.001,0,0,green,0,0,green,"2022-10-29 19:49:56"
024,"Department of Homeland Security",024-000005052,"CBP - Automated Targeting System (ATS) Maintenance","Major IT Investments",113361,45,113361,"ATS Maintenance FY21 Vetting and Targeting Capabilities","Improvements in targeting capabilities increase identification, linkage, and grouping of independent sets of information.",01,Completed,,false,false,,,,2020-10-01,2020-10-01,2020-10-01,2021-09-30,2021-09-30,2021-09-30,45.02,45.02,45.02,0,0,green,0,0,green,"2022-10-29 19:49:57"
024,"Department of Homeland Security",024-000005052,"CBP - Automated Targeting System (ATS) Maintenance","Major IT Investments",113362,46,113362,"FY21 Maintenance","Maintenance support for ATS. This includes Rule Updates, Data Improvement and Enrichment, Full Failover and Disaster Recovery, Hardware and Infrastructure, Systems Support, and Vetting and Targeting Capabilities.",01,Completed,,false,false,,,,2020-10-01,2020-10-01,2020-10-01,2021-09-30,2021-09-30,2021-09-30,115.819,115.819,115.819,0,0,green,0,0,green,"2022-10-29 19:49:58"
024,"Department of Homeland Security",024-000005236,"CBP - Cross Border Tunnel Threat (CBTT)","Major IT Investments",113363,3,113363,"Persistent Surveillance and Detection Initial Deployment","Deploy tunnel persistent surveillance and detection technology to Santa Teresa, Tucson, Yuma, and San Diego Areas of Responsibility (AORs).",01,Completed,,false,false,,,,2020-10-08,2020-10-08,2020-10-15,2023-02-28,2023-02-28,2023-02-28,28.8,28.8,28.8,0,0,green,0,0,green,"2023-04-25 16:11:37"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Major IT Investments",125342,570,125342,"Software IT Upgrades to improve performance for core vetting.","Upgrades that are designed to improve Risk-Based security initiatives and minimize the overall cost, and improve the performance for core vetting IT systems.",01,Completed,,false,false,,,,2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,6.2,6.2,5.98,0,0,green,0.22,3.548387,green,"2022-10-29 19:49:07"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Major IT Investments",125341,560,125341,"FY22 Performance Level Refresh Releases 150","Provide timely & accurate watch-list matches and resolutions, and government response coordination. Improve early insight into potential matches to the watch list matching on a 24/7 basis through the SF Operations.",01,Completed,,false,false,,,,2021-04-08,2021-04-08,2021-04-08,2022-10-04,2022-10-04,2022-10-04,10.3,10.3,10.3,0,0,green,0,0,green,"2022-10-29 19:49:06"
024,"Department of Homeland Security",024-000005284,"CBP - Unified Immigration Portal (UIP)","Major IT Investments",125344,2,125344,"Deployment Project 2","UIP PHASE 3: Develop microservices and RESTful APIs to enable immigration stakeholders to be able to use UIP services and data within their own systems.",01,Completed,,true,true,1,Months,"agile development framework operating in one week sprints. for each sprint, workloads were planned using jira project backlog, created with end-user input. built ci/cd pipeline using gitlab, jenkins & docker, which enabled developers to rapidly build tests and deploy new features.qa process was developed to integrate into the ci/cd pipeline to allow review of code changes in live environments at various stages of development and allow final approval before deploying into production environment.",2020-12-23,2021-01-01,2020-12-23,2021-12-31,2021-12-31,2021-12-16,10,10,10,15,4.021448,green,0,0,green,"2022-10-29 19:51:12"
024,"Department of Homeland Security",024-000003029,"USCIS - Verification Modernization (VER)","Major IT Investments",227376,30010423,227376,"1.15 RIDE","Maintain connection to AAMVAnet so E-Verify users can access driver?s license and state ID data stored within participating jurisdiction?s database.",01,"In Progress",,false,false,,,,2014-10-01,2014-10-01,2014-10-01,2023-09-30,2023-09-30,,6.862,6.91,,0,0,green,-0.048,-0.699505,green,"2022-10-29 19:49:14"
024,"Department of Homeland Security",024-000005253,"DHS - Homeland Advanced Recognition Technology (HART)","Major IT Investments",78061,1,78061,"HART - Increment 1","Core foundational architecture necessary to operate HART.",01,Completed,,true,false,3,Years,"program increments are being developed using safe agile practices, but production releases are being done using waterfall.",2018-04-10,2018-04-10,2018-04-10,2021-06-03,2021-06-03,2021-06-03,64.522,64.324,62.446,0,0,green,2.076,3.217507,green,"2022-11-30 16:55:29"
024,"Department of Homeland Security",024-000005052,"CBP - Automated Targeting System (ATS) Maintenance","Major IT Investments",113359,43,113359,"ATS Maintenance FY21 Rule Updates","Time-sensitive technical requirements, including daily rules updates and ad-hoc data requests.",01,Completed,,false,false,,,,2020-10-01,2020-10-01,2020-10-01,2021-09-30,2021-09-30,2021-09-30,5.804,5.804,5.804,0,0,green,0,0,green,"2022-10-29 19:49:55"
024,"Department of Homeland Security",024-000005628,"TSA - Transportation Worker Identification Credential (TWIC)","Major IT Investments",125300,16,125300,"Implementation of UES System Change Requests to meet TWIC Program requirements","Identify requirements and coordinate change requests to ensure that TWIC program goals are implemented to the UES System.",01,Completed,,false,false,,,,2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,0.6,0.6,0.6,0,0,green,0,0,green,"2022-10-29 19:49:26"
024,"Department of Homeland Security",024-000001256,"DHS - Federal Protective Service (FPS) Revenue Management System (RMS)","Major IT Investments",136971,4,136971,"RMS Planning","To develop high quality program plans to support the development of the RMS within cost and schedule.",01,Completed,,false,false,,,"the rms program will utilize an agile development approach with secdevops principles. however, the program has not yet achieved to the milestones necessary to initiate development.",2021-08-30,2021-08-30,2021-08-30,2022-02-28,2022-02-23,2022-02-02,0.304,0.305,0.282,26,14.285714,yellow,0.022,7.236842,green,"2022-10-29 19:51:17"
024,"Department of Homeland Security",024-000001256,"DHS - Federal Protective Service (FPS) Revenue Management System (RMS)","Major IT Investments",136972,5,136972,"RMS Architecture","The goal of the RMS Architecture Project is to analyze, plan and select a high quality architecture that enables the agency to meet its mission at the best value to the government.",01,Completed,,false,false,,,"the rms will use agile scrum development methodology and is integrating secdevops principles during the planning, design, development and testing.  the rms is not yet in the development stage of the acquisition life cycle.",2021-11-15,2021-11-17,2021-11-15,2022-09-07,2022-09-07,2022-09-07,0.999,0.97,0.819,0,0,green,0.18,18.018018,yellow,"2022-11-30 16:55:36"
024,"Department of Homeland Security",024-000007333,"FEMA - Logistics Supply Chain Management System (LSCMS)","Major IT Investments",131262,73340,131262,"O&M Operational Support","To provide  O&M support post FOC.  Complete annual OA and ensure program/system, is available to perform services as described in MNS/ORD.",01,"In Progress",,false,false,,,,2022-11-19,2022-11-19,2022-11-19,2023-05-18,2023-05-18,,76,76,,-4,-2.222222,green,0,0,green,"2023-05-22 16:23:56"
024,"Department of Homeland Security",024-000005295,"CBP - Incident Driven Video Recording System (IDVRS)","Major IT Investments",133866,1,133866,"Train the Trainer","To provide training to agents in the field so they can continue to provide training to other agents as additional technology is deployed to the field.",01,Completed,,false,false,,,,2021-07-26,2021-07-26,2021-07-26,2022-09-30,2022-09-25,2022-09-25,0.075,0.075,0.075,5,1.160093,green,0,0,green,"2022-10-29 19:51:16"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Major IT Investments",133925,250,133925,"Performance Level Refresh Releases 250 FY23","Provide continuous timely & accurate watch-list matches and resolutions, and government response coordination. Continue to innovatively improve early insight into potential matches to the watch list matching on a 24/7 basis through the SF Operations.",01,"In Progress",,false,false,,,,2022-10-05,2022-10-05,2022-10-05,2023-10-04,2023-10-04,,12.6,12.6,,0,0,green,0,0,green,"2023-04-25 16:11:24"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Major IT Investments",133926,650,133926,"Software IT Performance Upgrades 650 FY23","Upgrades that are designed to improve Risk-Based security initiatives and minimize the overall cost, and improve the performance for core vetting IT systems.",01,"In Progress",,false,false,,,,2022-10-01,2022-10-01,2022-10-01,2023-12-08,2023-12-08,,6.6,6.6,,0,0,green,0,0,green,"2023-03-31 13:28:53"
024,"Department of Homeland Security",024-000005053,"CBP - Automated Commercial Environment (ACE)","Major IT Investments",133923,23,133923,"ACE Collections - Release 5 (R5)","ACE Collections Release 5 (R5) is the 5th of 8 releases in the ACE Collections project. The release will deploy Debt Management features and capabilities.",01,Completed,,true,true,1,Months,"agile. four increments are completed annually. each increment consists of sprints of two week duration.",2021-03-31,2021-03-31,2021-03-31,2022-03-15,2022-03-15,2022-03-15,3.3,3.3,3.302,0,0,green,-0.0020000000000002,-0.060606,green,"2022-10-29 19:49:39"
024,"Department of Homeland Security",024-000005262,"CBP - COSS Transformation Initiative (CTI)","Major IT Investments",85923,1,85923,"OFO Automated Scheduling Tool (transitioning to Budget and Employee Scheduling Application (BESA))","In FY20, CBP's Office of Field Operations (OFO) changed their course and decided to custom develop an Automated Scheduling Tool (AST), known as BESA, in order to meet OFO's complex scheduling requirements.",01,"In Progress",,true,true,6,Months,"agile project development is being used.? this includes increments developed every 6-7 months, releases developed every 1-2 months, and sprints developed every 2 weeks.? this also includes release planning reviews at the beginning and release readiness reviews at the end of each increment.",2016-09-30,2016-10-03,2016-10-03,2024-05-03,2024-05-03,,36.015,36.015,,0,0,green,0,0,green,"2023-05-22 16:09:27"
024,"Department of Homeland Security",024-000005253,"DHS - Homeland Advanced Recognition Technology (HART)","Major IT Investments",143338,5,143338,"MSLS Development Period 1","HART Increment 1 support.",01,Completed,,true,true,4,Weeks,kanban.,2022-11-01,2022-11-01,2022-11-01,2023-04-30,2023-04-30,2023-04-30,2.27,2.27,2.27,0,0,green,0,0,green,"2023-05-22 16:09:26"
024,"Department of Homeland Security",024-000005253,"DHS - Homeland Advanced Recognition Technology (HART)","Major IT Investments",143337,4,143337,ECP3-6,"ECP3-6 activities.",01,"In Progress",,true,false,24,Months,"program increments are being developed using safe agile practices, but production releases are being done using waterfall.",2021-09-29,2021-09-29,2021-09-29,2023-09-30,2023-09-30,,73.021,73.021,,0,0,green,0,0,green,"2023-07-27 11:58:52"
024,"Department of Homeland Security",024-000009560,"DHS - Automated Biometric Identification System (IDENT)","Major IT Investments",143335,19,143335,"Annual Enterprise Management ID19","Deliver Annual IDENT Maintenance Releases.",01,Completed,,true,true,4,Weeks,kanban.,2022-11-01,2022-11-01,2022-11-01,2023-04-30,2023-04-30,2023-04-30,1.22,1.22,1.22,0,0,green,0,0,green,"2023-05-22 16:09:25"
024,"Department of Homeland Security",024-000005236,"CBP - Cross Border Tunnel Threat (CBTT)","Major IT Investments",126833,4,126833,"Persistent and Prevention Sustainment","Sustainment of persistent surveillance and detection technology deployed at Santa Teresa, Tucson, Yuma, and San Diego Areas of Responsibility (AORs).",01,"In Progress",,false,false,,,,2021-07-31,2021-07-31,2021-07-31,2023-10-31,2023-10-25,,1.25,1.25,,6,0.729927,green,0,0,green,"2023-05-22 16:09:24"
024,"Department of Homeland Security",024-000005284,"CBP - Unified Immigration Portal (UIP)","Major IT Investments",135744,3,135744,"UIP Phase 4","Phase 4 enables UIP's architecture to fuel the entire system through multiple technologies, services, data connections, and APIs.",01,"In Progress",,true,true,1,Months,"agile development framework operating in one week sprints. for each sprint, workloads were planned using jira project backlog, created with end-user input. built ci/cd pipeline using gitlab, jenkins & docker, which enabled developers to rapidly build tests and deploy new features.qa process was developed to integrate into the ci/cd pipeline to allow review of code changes in live environments at various stages of development and allow final approval before deploying into production environment.",2021-10-01,2021-10-01,2021-10-01,2023-09-30,2023-09-30,,63.7,63.7,,0,0,green,0,0,green,"2023-04-25 16:11:48"
024,"Department of Homeland Security",024-000009561,"CBP - Arrival and Departure Information System (ADIS)","Major IT Investments",142824,14,142824,"Migration to CBP Amazon Cloud East-CACE","Migrate ADIS to the CBP Amazon Cloud East- CACE.",01,"In Progress",,false,true,1,Months,"the business owner (cbp ofo) provides the roadmap of high-level requirements. information from the roadmap is translated to multiple epics and with the collaboration of the stakeholders they are prioritized and scheduled during the quarterly planning sessions. each week oit and the business stakeholders work together to prioritize deployment schedules.",2022-10-01,2022-10-01,2022-10-01,2025-09-30,2025-09-30,,8.95,8.95,,0,0,green,0,0,green,"2023-07-27 11:58:47"
024,"Department of Homeland Security",024-000007547,"FEMA - Grants Management Modernization","Major IT Investments",130004,4,130004,"GMM JAN FY23 Agile Delivery","Proj dev. Include: effts/caps for GMM appl to SPARTA-ET int. test envir.; aligned to the product roadmap/schedule through FOC; new caps, enhancements , modernization, and resolution of defects. Metrics captured at Qtrly roadmap discussions.",01,Completed,,true,true,1,Months,"3 week agile sprint iterations are tracked on a quarterly basis.",2022-12-02,2022-12-02,2022-12-02,2023-06-01,2023-06-01,2023-06-01,22.7,22.7,21.852,0,0,green,0.848,3.735683,green,"2023-07-27 11:58:50"
024,"Department of Homeland Security",024-000007547,"FEMA - Grants Management Modernization","Major IT Investments",130002,3,130002,"GMM JAN FY22 Agile Delivery","Proj dev. Include: effts/caps for GMM appl to SPARTA-ET int. test envir.; aligned to the product roadmap/schedule through FOC; new caps, enhancements , modernization, and resolution of defects. Metrics captured at Qtrly roadmap discussions.",01,Completed,,true,true,1,Months,"3 week agile sprints are tracked on a quarterly basis.",2021-12-02,2021-12-02,2021-12-02,2022-06-01,2022-06-01,2022-06-01,21.64,21.64,20.446,0,0,green,1.194,5.51756,green,"2022-10-29 19:50:35"
024,"Department of Homeland Security",024-000007547,"FEMA - Grants Management Modernization","Major IT Investments",130003,6,130003,"GMM JUL FY22 Agile Delivery","Proj dev. Include: effts/caps for GMM appl to SPARTA-ET int. test envir.; aligned to the product roadmap/schedule through FOC; new caps, enhancements , modernization, and resolution of defects. Metrics captured at Qtrly roadmap discussions.",01,Completed,,true,true,1,Months,"three week sprints tracked quarterly.",2022-06-02,2022-06-02,2022-06-02,2022-12-01,2022-12-01,2022-12-01,21.64,21.64,21.88,0,0,green,-0.24,-1.109057,green,"2023-01-31 15:41:58"
024,"Department of Homeland Security",024-000007547,"FEMA - Grants Management Modernization","Major IT Investments",130001,5,130001,"GMM JUL FY21 Agile Delivery","Proj dev. Include: effts/caps for GMM appl to SPARTA-ET int. test envir.; aligned to the product roadmap/schedule through FOC; new caps, enhancements , modernization, and resolution of defects. Metrics captured at Qtrly roadmap discussions.",01,Completed,,true,true,1,Months,"three week sprint cycles tracked quarterly.",2021-06-02,2021-06-02,2021-06-02,2021-12-01,2021-12-01,2021-12-01,19,18.7,14.647,0,0,green,4.353,22.910526,yellow,"2022-10-29 19:50:34"
024,"Department of Homeland Security",024-000005713,"TSA - CheckPoint Property Screening System (CPSS)","Major IT Investments",133990,3,133990,"BY23 Checkpoint Property Screening System (CPSS)","CPSS Increment 1 project aims to develop, test & evaluate, produce and deploy checkpoint carry-on bag screening systems.",01,"In Progress",,false,false,,,,2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,69.35,69.35,,0,0,green,0,0,green,"2023-04-25 16:11:47"
024,"Department of Homeland Security",024-000005713,"TSA - CheckPoint Property Screening System (CPSS)","Major IT Investments",133991,4,133991,"BY23 CPSS Operation and Sustainment Activities","CPSS Increment 1 project aims to develop test & evaluate, produce and deploy checkpoint carry-on bag screening systems.",01,"In Progress",,false,false,,,,2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,55.36,55.36,,0,0,green,0,0,green,"2023-04-25 16:11:48"
024,"Department of Homeland Security",024-000007002,"FEMA - Enterprise Data and Analytics Modernization Initiative (EDAMI)","Major IT Investments",131841,2,131841,Technical,"The EDAMI Technical Team is responsible for designing, developing, delivering, and deploying a cloud-based enterprise data analytics solution known as FEMADex, as well as guiding the transition from the legacy EDW to the future FEMADex solution.",01,"In Progress",,false,false,,,,2021-04-01,2023-04-01,2023-04-01,2026-06-30,2023-09-30,,7.191,7.191,,1004,52.400835,red,0,0,green,"2023-07-27 11:58:49"
024,"Department of Homeland Security",024-000007002,"FEMA - Enterprise Data and Analytics Modernization Initiative (EDAMI)","Major IT Investments",131840,3,131840,Business,"The EDAMI Business Team manages program-level resources, schedules, risk, documentation, stakeholder engagement, requirements gathering, change management, and training.",01,"In Progress",,false,false,,,,2021-04-01,2023-04-01,2023-04-01,2026-06-30,2023-09-30,,4.331,4.331,,1004,52.400835,red,0,0,green,"2023-07-27 11:58:48"
024,"Department of Homeland Security",024-000007001,"FEMA - Integrated Public Alert & Warning System (IPAWS)","Major IT Investments",131848,70018000,131848,"EAS PEP Expansion Phase 2","The PMO is modernizing legacy PEP stations with retrofitted fuel systems, all-hazard capabilities, and redundant communications equipment to make PEP stations more resilient.",01,"In Progress",,false,false,,,"the national public warning system (npws) is an it system, however, due to the unique nature of this system it contains a large portion of non-it costs. npws is a set of radio stations buildings called primary entry points stations (pep) located throughout the u.s. & its territories that support eas (emergency alert system) for broadcast of a presidential warning message. given npws is not a software application project, incremental development is not applicable.",2019-09-30,2019-09-30,2019-09-30,2024-01-09,2024-01-09,,10.761,8.413,,0,0,green,2.348,21.819534,yellow,"2023-07-27 11:58:43"
024,"Department of Homeland Security",024-000007001,"FEMA - Integrated Public Alert & Warning System (IPAWS)","Major IT Investments",131847,70021000,131847,"PEP O&M Phase 2","This project provides the President with capability to warn the American people in times of national crisis. Project provides as needed O&M: operating system upgrades, security patch implementation, & physical infrastructure maintenance.",01,"In Progress",,false,false,,,,2021-03-03,2021-03-03,2021-03-03,2023-09-02,2023-09-02,,5.955,5.955,,0,0,green,0,0,green,"2023-03-31 13:10:48"
024,"Department of Homeland Security",024-000007001,"FEMA - Integrated Public Alert & Warning System (IPAWS)","Major IT Investments",131846,70019000,131846,"OPEN Cloud Deployment, Release Planning, and O&M","Modernize & migrate the IPAWS-OPEN system to the cloud. Project includes redesign of the application & architecture to a more cost-effective & cloud design. IPAWS eliminates costly architecture platforms required of FEMA systems residing at DC2.",01,"In Progress",,true,true,4,Years,"ipaws-open conducts four sprints a year on average for our annual releases.? we use agile-waterfall hybrid methodology.",2021-02-02,2021-02-02,2021-02-02,2024-12-31,2023-10-14,,9.5,4.98,,444,31.092437,red,4.52,47.578947,red,"2023-07-27 11:58:43"
024,"Department of Homeland Security",024-000007001,"FEMA - Integrated Public Alert & Warning System (IPAWS)","Major IT Investments",131845,70020000,131845,"OPEN EADIS Decommission","IPAWSOPEN is an application and data center infrastructure providing alert aggregation, authentication, and dissemination to communication media. This project provides updates to the system decommission following successful migration to cloud.",01,Completed,,false,false,,,,2020-10-01,2020-10-01,2020-10-01,2021-09-30,2021-09-30,2021-09-05,0.868,0.868,0.728,25,6.868132,green,0.14,16.129032,yellow,"2022-10-29 19:50:09"
024,"Department of Homeland Security",024-000005053,"CBP - Automated Commercial Environment (ACE)","Major IT Investments",131835,22,131835,"ACE Collections - Release 4 (R4)","ACE Collections R4 is the 4th of 8 releases in the ACE Collections project. The release will deploy Billing features and capabilities.",01,Complete,,true,true,1,Months,"agile.  four increments are completed annually.  each increment consists of sprints of two week duration.",,,2020-11-18,,,2021-10-12,,,6,4,1.2195,green,-0.008,-0.1333,green,"2022-01-02 23:17:09"
024,"Department of Homeland Security",024-000003029,"USCIS - Verification Modernization (VER)","Major IT Investments",139797,30010434,139797,"USCIS - VER - VIS O&M 34.0","Strengthen & improve the IT infrastructure supporting E-Verify & SAVE business processes. Address functional & technical capability gaps, and increase flexibility & capacity for VIS applications to support workload growth.",01,Completed,,true,true,2,Weeks,"uscis will manage system roadmaps, project plans, and product and release backlogs. a uscis product owner will specify high-level requirements to contractor agile teams. uscis subject matter experts work together with contractors to define user stories and establish acceptance criteria. uscis may adopt various agile processes such as, but not limited to, scrum, kanban, and lean software development.",2022-01-05,2022-01-05,2022-01-05,2022-07-05,2022-07-05,2022-07-05,31.941,30.677,30.643,0,0,green,1.298,4.063743,green,"2022-10-29 19:49:15"
